StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,ResponseId,UserLanguage,RecordedDate,curso,escolaridade,área_estudo,renda,verif_contrato_2,idade,renda_e_pessoas,contrato_AB,contrato_CD,contrato_EF,poltrona_venda_reais,poltrona_compra_reai,poltrona_venda_porce,Q30,verif_poltrona,verif_casa
2022-01-30 13:27:57,2022-01-30 13:40:39,IP Address,97,762,False,R_DBvcq0qk9BRWdFL,PT-BR,2022-02-06 13:40:40,"Psicologia ",Pós graduação (completa),Humanas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",10%,57,3,"Contrato 1:
Você concorda em vender os computadores (em 2013) por R$1.200 a peça, independente do preço dos computadores na época. Sendo assim, se a inflação estiver abaixo de 20%, você estará ganhando mais do que o preço de 2013; todavia, se a inflação ultrapassar 20%, você estará ganhando menos do que o preço de 2013. Uma vez que você concordou com um preço fixo, seu lucro vai depender da taxa de inflação.",,,Igual,Igual,,,Permaneceu o mesmo,1 ano
2022-02-06 18:11:39,2022-02-06 18:30:27,IP Address,100,1127,True,R_2E6KDRGSEDvqmy4,PT-BR,2022-02-06 18:30:28,"Engenharia Ambiental ",Pós graduação (completa),Exatas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",30%,28,4,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",,,Igual,Menos suscetível,Aumentou,1 ano
2022-02-07 07:40:50,2022-02-07 07:50:30,IP Address,100,579,True,R_3HNSBtIA7H4GzOq,PT-BR,2022-02-07 07:50:31,Direito,Superior (incompleto),Humanas,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",20%,22,3,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Mais suscetível,Menos suscetível,Permaneceu o mesmo,1 ano
2022-02-07 11:41:36,2022-02-07 11:48:54,IP Address,100,438,True,R_5mqIGB1XhSklPFv,PT-BR,2022-02-07 11:48:54,Psicologia,Superior (incompleto),Saúde,"Mais de 15 salários mínimos (mais de R$ 15675,01)",Não sei,25,4,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Igual,Igual,,,Permaneceu o mesmo,2 anos
2022-02-07 14:52:00,2022-02-07 15:02:51,IP Address,100,651,True,R_3Pc0zLEjviXbR1A,PT-BR,2022-02-07 15:02:52,Psicologia,Pós graduação (incompleta),Saúde,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",20%,30,4,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,,Menos suscetível,Menos suscetível,Aumentou,1 ano
2022-02-08 18:02:33,2022-02-08 18:08:08,IP Address,100,335,True,R_3CBgOUIlloa9mLe,PT-BR,2022-02-08 18:08:08,"Psicologia ",Superior (completo),Saúde,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",Não sei,23,2,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Igual,Igual,,,Aumentou,1 ano
2022-02-09 16:21:40,2022-02-09 16:32:25,IP Address,100,645,True,R_2yjRRL3Ei0AkbGT,PT-BR,2022-02-09 16:32:25,"Medicina ",Pós graduação (completa),Saúde,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",20%,51,3,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Igual,Igual,,,Permaneceu o mesmo,Não sei
2022-02-09 16:45:09,2022-02-09 17:01:38,IP Address,100,989,True,R_1MMudfYsPK9UmXs,PT-BR,2022-02-09 17:01:38,Medicina,Pós graduação (completa),Biológicas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",Não sei,43,4,"Contrato 1:
Você concorda em vender os computadores (em 2013) por R$1.200 a peça, independente do preço dos computadores na época. Sendo assim, se a inflação estiver abaixo de 20%, você estará ganhando mais do que o preço de 2013; todavia, se a inflação ultrapassar 20%, você estará ganhando menos do que o preço de 2013. Uma vez que você concordou com um preço fixo, seu lucro vai depender da taxa de inflação.",,,,,Igual,Menos suscetível,Permaneceu o mesmo,Não sei
2022-02-09 16:59:17,2022-02-09 17:10:03,IP Address,100,645,True,R_10oriI7qYmpP9Bz,PT-BR,2022-02-09 17:10:03,Engenharia,Superior (incompleto),Exatas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,21,5,,"Contrato 1:
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,Igual,Menos suscetível,,,Aumentou,1 ano
2022-02-09 16:31:59,2022-02-09 17:13:21,IP Address,100,2482,True,R_1lsmI2Vxcd4idNd,PT-BR,2022-02-09 17:13:22,Medicina,Pós graduação (completa),Saúde,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",20%,30,1,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",Igual,Igual,,,Permaneceu o mesmo,1 ano
2022-02-09 17:58:18,2022-02-09 18:04:57,IP Address,100,398,True,R_0AHvgoWRrm9JuGB,PT-BR,2022-02-09 18:04:57,Psicologia,Pós graduação (completa),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",Não sei,37,2,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Igual,Igual,Permaneceu o mesmo,1 ano
2022-02-10 14:41:43,2022-02-10 14:53:52,IP Address,100,728,True,R_3D8E8YRCYSu3y1a,PT-BR,2022-02-10 14:53:52,Engenharia,Superior (completo),Exatas,,20%,44,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Igual,Igual,,,Aumentou,1 ano
2022-02-10 16:10:32,2022-02-10 16:23:30,IP Address,100,778,True,R_x44neKLwxULnU8F,PT-BR,2022-02-10 16:23:30,"Nutrição ",Pós graduação (completa),Saúde,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",20%,51,1,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",,,Mais suscetível,Menos suscetível,Aumentou,2 anos
2022-02-03 16:46:41,2022-02-03 16:49:26,IP Address,53,165,False,R_2afCfePda3Q8B8M,PT-BR,2022-02-10 16:49:31,Psico,Superior (incompleto),Humanas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",,23,4,,,,,,,,,
2022-02-03 17:12:28,2022-02-03 17:18:30,IP Address,57,362,False,R_PN8uEEnjDgnelIR,PT-BR,2022-02-10 17:18:33,"Administração ",Superior (incompleto),Humanas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",,23,1,,,,,,,,,
2022-02-03 17:20:12,2022-02-03 17:23:51,IP Address,57,218,False,R_2e3jTNd0u6aYAXY,PT-BR,2022-02-10 18:09:15,Medicina,Superior (incompleto),Saúde,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",,23,2,,,,,,,,,
2022-02-03 18:00:51,2022-02-03 18:10:58,IP Address,97,607,False,R_uaghrBd6i23QcuJ,PT-BR,2022-02-10 19:11:33,Psicologia,Superior (incompleto),Humanas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",20%,22,4,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Igual,Menos suscetível,,,Permaneceu o mesmo,1 ano
2022-02-03 18:27:25,2022-02-03 18:35:14,IP Address,57,469,False,R_1P4XDEFEegrFrCm,PT-BR,2022-02-10 19:19:25,Direito,Superior (incompleto),Humanas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",,23,3,,,,,,,,,
2022-02-04 05:05:13,2022-02-04 05:17:20,IP Address,60,726,False,R_3QQSNRc1nSIn9V3,PT-BR,2022-02-11 05:17:22,Economia,Superior (completo),Exatas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",,25,3,,,,,,,,,
2022-02-11 05:51:30,2022-02-11 05:59:15,IP Address,100,465,True,R_22QzXp6MhNXyg9S,PT-BR,2022-02-11 05:59:16,Design,Pós graduação (incompleta),Artes,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",20%,27,1,,"Contrato 1:
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,Mais suscetível,Igual,,,Não sei,Não sei
2022-02-04 07:44:46,2022-02-04 07:45:36,IP Address,3,49,False,R_2V4ScsRvqpOqCtz,PT-BR,2022-02-11 07:45:43,,,,,,,,,,,,,,,,
2022-02-04 11:42:29,2022-02-04 11:42:55,IP Address,3,25,False,R_wLtrGz2GdOpUFJn,PT-BR,2022-02-11 11:44:38,,,,,,,,,,,,,,,,
2022-02-06 14:53:03,2022-02-06 14:55:52,IP Address,97,168,False,R_1jDnMPUip35bgzc,PT-BR,2022-02-13 14:55:55,"Educação Física ",Pós graduação (completa),Biológicas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",30%,34,4,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Igual,Igual,Permaneceu o mesmo,1 ano
2022-02-07 06:30:55,2022-02-07 06:36:53,IP Address,97,357,False,R_0BRWpAxD7bKKVlD,PT-BR,2022-02-14 06:36:56,Administração,Pós graduação (completa),Humanas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",20%,32,1,"Contrato 1:
Você concorda em vender os computadores (em 2013) por R$1.200 a peça, independente do preço dos computadores na época. Sendo assim, se a inflação estiver abaixo de 20%, você estará ganhando mais do que o preço de 2013; todavia, se a inflação ultrapassar 20%, você estará ganhando menos do que o preço de 2013. Uma vez que você concordou com um preço fixo, seu lucro vai depender da taxa de inflação.",,,Igual,Igual,,,Aumentou,1 ano
2022-02-07 11:30:39,2022-02-07 11:32:05,IP Address,23,85,False,R_2TF7h0zuSGtbgoV,PT-BR,2022-02-14 11:34:13,,Pós graduação (completa),,,,32,,,,,,,,,,
2022-02-07 13:58:56,2022-02-07 14:07:09,IP Address,50,492,False,R_x2S86WGgYAI0kZr,PT-BR,2022-02-14 14:11:05,Nao cursei,Superior (completo),Não cursei,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",,59,5,,,,,,,,,
2022-02-14 20:26:26,2022-02-14 20:54:55,IP Address,100,1708,True,R_3dZaN4x58zP5H18,PT-BR,2022-02-14 20:54:55,Jornalismo,Superior (completo),Humanas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",Não sei,23,3,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",,,Igual,Igual,Aumentou,1 ano
2022-02-15 04:51:51,2022-02-15 04:59:39,IP Address,100,468,True,R_AbSosHXKAuOIHw5,PT-BR,2022-02-15 04:59:40,Bacharelado em Ciências e Tecnologia,Superior (incompleto),Exatas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",20%,18,5,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Mais suscetível,Menos suscetível,,,Aumentou,1 ano
2022-02-15 07:30:56,2022-02-15 07:36:12,IP Address,100,316,True,R_1QnF0onPesW9YvP,PT-BR,2022-02-15 07:36:12,Psicologia,Superior (completo),Humanas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",Não sei,22,5,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,,Igual,Menos suscetível,Aumentou,1 ano
2022-02-15 12:27:57,2022-02-15 12:35:30,IP Address,100,453,True,R_8xg05YwdE6catnX,PT-BR,2022-02-15 12:35:31,"Psicologia ",Pós graduação (incompleta),Humanas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",10%,26,3,"Contrato 1:
Você concorda em vender os computadores (em 2013) por R$1.200 a peça, independente do preço dos computadores na época. Sendo assim, se a inflação estiver abaixo de 20%, você estará ganhando mais do que o preço de 2013; todavia, se a inflação ultrapassar 20%, você estará ganhando menos do que o preço de 2013. Uma vez que você concordou com um preço fixo, seu lucro vai depender da taxa de inflação.",,,,,Mais suscetível,Igual,Aumentou,1 ano
2022-02-08 18:20:42,2022-02-08 18:21:12,IP Address,7,30,False,R_2pRJvsFSpbRhbff,PT-BR,2022-02-15 18:21:13,,,,,,,,,,,,,,,,
2022-02-09 04:38:29,2022-02-09 04:40:25,IP Address,57,115,False,R_Twj9e3jWyga3WuZ,PT-BR,2022-02-16 04:40:28,Psicologia,Superior (completo),Humanas,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",,22,4,,,,,,,,,
2022-02-09 04:46:58,2022-02-09 04:49:04,IP Address,23,126,False,R_2bW79anxxmEQZcZ,PT-BR,2022-02-16 04:49:09,,Superior (completo),,,,23,,,,,,,,,,
2022-02-09 03:59:14,2022-02-09 12:12:13,IP Address,97,29578,False,R_2wKv3qaAc0gUOTj,PT-BR,2022-02-16 12:12:51,Biologia,Pós graduação (incompleta),Biológicas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",20%,27,3,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",,,Igual,Igual,Aumentou,2 anos
2022-02-09 16:27:03,2022-02-09 16:30:53,IP Address,50,230,False,R_1JQ4pMraqJUOyXS,PT-BR,2022-02-16 16:30:59,Medicina,Pós graduação (completa),Saúde,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",,30,1,,,,,,,,,
2022-02-09 17:13:37,2022-02-09 17:14:27,IP Address,23,50,False,R_3ES92Kx8I5qSFCA,PT-BR,2022-02-16 17:14:28,,Superior (completo),,,,28,,,,,,,,,,
2022-02-10 12:28:16,2022-02-10 12:38:03,IP Address,97,587,False,R_2ysCq9DNpyxy8WI,PT-BR,2022-02-17 12:51:19,"Nutrição ",Pós graduação (completa),Saúde,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",Não sei,51,1,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,,Igual,Menos suscetível,Aumentou,Não sei
2022-02-18 06:18:11,2022-02-18 06:34:34,IP Address,100,983,True,R_3QRVBiD84DlvtfJ,PT-BR,2022-02-18 06:34:34,Administração e atualmente Teatro,Superior (completo),Humanas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",20%,23,3,"Contrato 1:
Você concorda em vender os computadores (em 2013) por R$1.200 a peça, independente do preço dos computadores na época. Sendo assim, se a inflação estiver abaixo de 20%, você estará ganhando mais do que o preço de 2013; todavia, se a inflação ultrapassar 20%, você estará ganhando menos do que o preço de 2013. Uma vez que você concordou com um preço fixo, seu lucro vai depender da taxa de inflação.",,,,,Igual,Menos suscetível,Aumentou,1 ano
2022-02-11 13:51:08,2022-02-11 13:55:13,IP Address,53,244,False,R_DMML1ADIDiOpR3b,PT-BR,2022-02-18 13:55:17,"Letras ",Pós graduação (completa),Humanas,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",,52,2,,,,,,,,,
2022-02-21 04:56:39,2022-02-21 05:09:26,IP Address,100,767,True,R_3rHce7dO5RqjzgH,PT-BR,2022-02-21 05:09:26,Tecnologia em Aquicultura,Pós graduação (completa),Biológicas,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",20%,35,1,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Igual,Menos suscetível,Aumentou,2 anos
2022-02-14 12:55:55,2022-02-14 13:00:21,IP Address,97,266,False,R_vwPwIf1RnfQkscp,PT-BR,2022-02-21 13:00:34,Psicologia,Superior (incompleto),Biológicas,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",20%,20,4,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Mais suscetível,Igual,,,Aumentou,1 ano
2022-02-14 16:39:15,2022-02-14 16:46:51,IP Address,87,455,False,R_1pyAc81jAe1h2ur,PT-BR,2022-02-21 16:46:54,"Letras ",Pós graduação (completa),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",,50,2,,,,,,Menos suscetível,Igual,Aumentou,1 ano
2022-02-14 17:28:57,2022-02-14 19:46:17,IP Address,97,8239,False,R_3KBM72rloudQVs2,PT-BR,2022-02-21 19:46:21,Design de Moda,Superior (completo),Humanas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",Não sei,26,2,,"Contrato 1:
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,Mais suscetível,Menos suscetível,,,Aumentou,1 ano
2022-02-22 05:39:46,2022-02-22 05:52:21,IP Address,100,754,True,R_R8KISDlEOBWEWu5,PT-BR,2022-02-22 05:52:23,Engenharia da Computação,Superior (incompleto),Exatas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,21,5,,"Contrato 1:
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,Mais suscetível,Igual,,,Permaneceu o mesmo,1 ano
2022-02-22 05:46:41,2022-02-22 05:54:00,IP Address,100,438,True,R_3KwylnkUbP4Gnbr,PT-BR,2022-02-22 05:54:00,Direito,Superior (incompleto),Humanas,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",20%,21,4,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",,,Igual,Igual,Aumentou,1 ano
2022-02-22 05:48:42,2022-02-22 05:57:19,IP Address,100,517,True,R_27BTSWlP3OCYAAk,PT-BR,2022-02-22 05:57:19,Marketing,Pós graduação (incompleta),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,25,2,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Mais suscetível,Menos suscetível,Aumentou,1 ano
2022-02-22 05:50:45,2022-02-22 05:58:04,IP Address,100,439,True,R_1Fh7723I4z66WgY,PT-BR,2022-02-22 05:58:05,Arquitetura e Urbanismo,Superior (incompleto),Artes,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",20%,21,3,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Igual,Menos suscetível,,,Aumentou,1 ano
2022-02-22 06:07:37,2022-02-22 06:16:53,IP Address,100,555,True,R_cJ8tr5PJ8sk5qgh,PT-BR,2022-02-22 06:16:53,"Psicologia ",Superior (incompleto),Saúde,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",20%,24,3,"Contrato 1:
Você concorda em vender os computadores (em 2013) por R$1.200 a peça, independente do preço dos computadores na época. Sendo assim, se a inflação estiver abaixo de 20%, você estará ganhando mais do que o preço de 2013; todavia, se a inflação ultrapassar 20%, você estará ganhando menos do que o preço de 2013. Uma vez que você concordou com um preço fixo, seu lucro vai depender da taxa de inflação.",,,Mais suscetível,Igual,,,Permaneceu o mesmo,1 ano
2022-02-22 06:17:47,2022-02-22 06:24:14,IP Address,100,387,True,R_6zNztITiN5yM30B,PT-BR,2022-02-22 06:24:15,"Relações Internacionais ",Superior (incompleto),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,22,3,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Igual,Igual,,,Permaneceu o mesmo,1 ano
2022-02-22 06:57:42,2022-02-22 07:07:52,IP Address,100,609,True,R_xEDH8IicLzkUdm9,PT-BR,2022-02-22 07:07:52,,Ensino Médio (completo),Não cursei,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",Não sei,51,3,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",,,Mais suscetível,Menos suscetível,Aumentou,Não sei
2022-02-22 07:17:45,2022-02-22 07:36:43,IP Address,100,1138,True,R_AH6Dnu47Ioigoox,PT-BR,2022-02-22 07:36:44,Psicologia,Superior (incompleto),Humanas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",Não sei,18,4,,"Contrato 1:
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,,,Igual,Menos suscetível,Permaneceu o mesmo,1 ano
2022-02-15 07:55:18,2022-02-15 07:58:46,IP Address,50,208,False,R_2uyM7f6sfOSdq20,PT-BR,2022-02-22 07:58:49,"Aquicultura ",Pós graduação (completa),Biológicas,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",,35,1,,,,,,,,,
2022-02-22 07:22:22,2022-02-22 08:01:00,IP Address,100,2318,True,R_bezBDRwPjhPY8bT,PT-BR,2022-02-22 08:01:00,"Publicidade e propaganda ",Superior (completo),Humanas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",20%,21,4,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",Mais suscetível,Menos suscetível,,,Aumentou,1 ano
2022-02-22 07:49:18,2022-02-22 08:02:51,IP Address,100,812,True,R_3GuDt2lIlz0QOCR,PT-BR,2022-02-22 08:02:51,Engenharia Agronômica,Superior (incompleto),Exatas,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",20%,21,1,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,,Igual,Menos suscetível,Aumentou,2 anos
2022-02-22 07:35:32,2022-02-22 08:18:18,IP Address,100,2565,True,R_ekRrXOuSqpzGLPr,PT-BR,2022-02-22 08:18:18,Psicologia,Superior (incompleto),Saúde,"Mais de 15 salários mínimos (mais de R$ 15675,01)",Não sei,26,4,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Igual,Igual,,,Permaneceu o mesmo,1 ano
2022-02-15 08:43:13,2022-02-15 08:44:10,IP Address,23,57,False,R_2QY5KWfS1kqtj7E,PT-BR,2022-02-22 08:44:12,,Superior (incompleto),,,,41,,,,,,,,,,
2022-02-15 08:59:59,2022-02-15 09:04:32,IP Address,97,273,False,R_1eKbbf710dllLpr,PT-BR,2022-02-22 09:04:36,ciência da computação,Superior (incompleto),Exatas,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",40%,19,5,,"Contrato 1:
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,,,Mais suscetível,Igual,Aumentou,1 ano
2022-02-22 09:22:03,2022-02-22 09:36:06,IP Address,100,842,True,R_2WI3HSKlz6XCFb2,PT-BR,2022-02-22 09:36:07,"Engenharia ",Superior (incompleto),Exatas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,21,4,,"Contrato 1:
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,,,Igual,Igual,Permaneceu o mesmo,1 ano
2022-02-22 09:31:09,2022-02-22 09:42:44,IP Address,100,694,True,R_3NQUXh0CNwQpAdQ,PT-BR,2022-02-22 09:42:44,"psicologia ",Ensino Médio (completo),Biológicas,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",10%,18,4,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Igual,Menos suscetível,,,Aumentou,1 ano
2022-02-22 09:35:29,2022-02-22 09:42:57,IP Address,100,447,True,R_2R4yPubPSoYkHR9,PT-BR,2022-02-22 09:42:57,Direito,Superior (incompleto),Humanas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",Não sei,19,3,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,Igual,Igual,,,Aumentou,Não sei
2022-02-22 09:23:02,2022-02-22 09:48:59,IP Address,100,1556,True,R_AzgExGUNpNfrSwx,PT-BR,2022-02-22 09:48:59,Pedagogia,Superior (completo),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,57,4,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",,,Igual,Igual,Permaneceu o mesmo,1 ano
